name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
GET /assets/app/js/app.js	10	10	0	140	140	-1	200	200	-1	166	166	-1	20	20	-1	200	200	-1	200	200	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/glyphicons/fonts/glyphicons-halflings-regular.woff	10	10	0	320	320	-1	510	510	-1	450	450	-1	59	59	-1	510	510	-1	510	510	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/cssCtrl.js	10	10	0	150	150	-1	350	350	-1	271	271	-1	82	82	-1	350	350	-1	350	350	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /getConnexion	20	20	0	140	140	-1	500	500	-1	276	276	-1	138	138	-1	500	500	-1	500	500	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/connaissancesService.js	10	10	0	140	140	-1	300	300	-1	206	206	-1	57	57	-1	300	300	-1	300	300	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/emploisService.js	10	10	0	140	140	-1	280	280	-1	168	168	-1	38	38	-1	280	280	-1	280	280	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/angular/angular-cookies.min.js	10	10	0	150	150	-1	340	340	-1	233	233	-1	79	79	-1	340	340	-1	340	340	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/actualitesService.js	10	10	0	140	140	-1	320	320	-1	195	195	-1	66	66	-1	320	320	-1	320	320	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/websocketCtrl.js	10	10	0	150	150	-1	520	520	-1	203	203	-1	108	108	-1	520	520	-1	520	520	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/presentation/diapo_5.png	10	10	0	320	320	-1	410	410	-1	341	341	-1	25	25	-1	410	410	-1	410	410	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
